"CASENO","SEVERITY","ACCDATE","ACCTIME","NOVEH","NOINJ","NOKILLED","INNEAR","COMMNAME","UGRID","USTREET1","USTREET2","UBLOCK","ROADAUTH","CTRLSECT","ATKM","RM","SIDEOF","QTR","SEC","TWP","RGE","MER","OTHERLOC","lookup_str","lat","lon"
1343375,"INJURY","2003-07-23",1720,2,1,0,"IN","REGINA","RE706850","OTTAWA ST","VICTORIA AVE",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","OTTAWA ST and VICTORIA AVE, REGINA, Saskatchewan",50.4472319,-104.6005803
1345009,"INJURY","2003-07-23",1630,2,1,0,"IN","REGINA","RE676880","13TH AVE","BROAD ST",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","13TH AVE and BROAD ST, REGINA, Saskatchewan",50.4455005,-104.606336
1448865,"INJURY","2003-07-27",1845,2,1,0,"IN","REGINA","RE695930","COOK CR","DALGLIESH DR",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","COOK CR and DALGLIESH DR, REGINA, Saskatchewan",50.4919905,-104.6728623
1334777,"INJURY","2003-07-30",1006,2,1,0,"IN","REGINA","RE692920","BROAD ST","BROADWAY AVE",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","BROAD ST and BROADWAY AVE, REGINA, Saskatchewan",NA,NA
1313549,"INJURY","2003-07-31",1919,2,1,0,"IN","REGINA","RE684290","5TH AVE","KING ST",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","5TH AVE and KING ST, REGINA, Saskatchewan",50.4613917,-104.6383549
1347947,"INJURY","2003-08-01",1735,2,1,0,"IN","REGINA","RE676950","13TH AVE","EDWARD ST",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","13TH AVE and EDWARD ST, REGINA, Saskatchewan",NA,NA
1334778,"INJURY","2003-08-02",2237,2,2,0,"IN","REGINA","RE683250","4TH AVE","CAMERON ST",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","4TH AVE and CAMERON ST, REGINA, Saskatchewan",NA,NA
1347770,"INJURY","2003-08-07",2120,2,1,0,"IN","REGINA","RE707260","LEWVAN DR","PASQUA ST / SHERWOOD DR",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","LEWVAN DR and PASQUA ST / SHERWOOD DR, REGINA, Saskatchewan",50.4754989,-104.6409733
1345776,"INJURY","2003-08-08",1415,2,1,0,"IN","REGINA","RE370400","7TH AVE","1800-1899",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","1849 7TH AVE, REGINA, Saskatchewan",50.4581193,-104.6077427
1349438,"INJURY","2003-08-12",701,2,1,0,"IN","REGINA","RE9999","NOT STATED","",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","NOT STATED and , REGINA, Saskatchewan",NA,NA
